building_chain	level	active_slot_count
troy_main_ody_settlement_gold_myth_centaurs	2	0
troy_main_ody_settlement_gold_myth_centaurs	3	0
troy_main_ody_settlement_gold_myth_giants	1	0
troy_main_ody_settlement_gold_myth_giants	2	0
troy_main_ody_settlement_gold_myth_giants	3	0
troy_main_ody_settlement_gold_myth_harpies	1	0
troy_main_ody_settlement_gold_myth_harpies	2	0
troy_main_ody_settlement_gold_myth_harpies	3	0
troy_main_ody_settlement_gold_sea	1	2
troy_main_ody_settlement_gold_sea	2	3
troy_main_ody_settlement_gold_sea	3	3
troy_main_ody_settlement_major	-1	0
troy_main_ody_settlement_major_myth_centaurs	1	0
troy_main_ody_settlement_major_myth_centaurs	2	0
troy_main_ody_settlement_major_myth_centaurs	3	0
troy_main_ody_settlement_major_myth_centaurs	4	0
troy_main_ody_settlement_major_myth_centaurs	5	0
troy_main_ody_settlement_major_myth_giants	1	0
troy_main_ody_settlement_major_myth_giants	2	0
troy_main_ody_settlement_major_myth_giants	3	0
troy_main_ody_settlement_major_myth_giants	4	0
troy_main_ody_settlement_major_myth_giants	5	0
troy_main_ody_settlement_major_myth_harpies	1	0
troy_main_ody_settlement_major_myth_harpies	2	0
troy_main_ody_settlement_major_myth_harpies	3	0
troy_main_ody_settlement_major_myth_harpies	4	0
troy_main_ody_settlement_major_myth_harpies	5	0
troy_main_ody_settlement_major_sea	1	2
troy_main_ody_settlement_major_sea	2	3
troy_main_ody_settlement_major_sea	3	5
troy_main_ody_settlement_major_sea	4	6
troy_main_ody_settlement_major_sea	5	7
troy_main_ody_settlement_stone	1	0
troy_main_ody_settlement_stone	2	0
troy_main_ody_settlement_stone	3	0
troy_main_ody_settlement_stone_sea	1	2
troy_main_ody_settlement_stone_sea	2	3
troy_main_ody_settlement_stone_sea	3	3
troy_main_ody_settlement_wood_myth_giants	1	0
troy_main_ody_settlement_wood_myth_giants	2	0
troy_main_ody_settlement_wood_myth_giants	3	0
troy_main_ody_settlement_wood_myth_harpies	1	0
troy_main_ody_settlement_wood_myth_harpies	2	0
troy_main_ody_settlement_wood_myth_harpies	3	0
troy_main_ody_special_mycenae	1	0
troy_main_ody_special_mycenae	2	0
troy_main_ody_special_mycenae	3	0
troy_main_ody_special_mycenae	4	0
troy_main_ody_special_mycenae	5	0
troy_main_settlement_bronze_sea	1	2
troy_main_settlement_bronze_sea	2	3
troy_main_settlement_bronze_sea	3	3
troy_main_settlement_farm_sea	1	2
troy_main_settlement_farm_sea	2	3
troy_main_settlement_farm_sea	3	3
troy_main_settlement_forest_sea	1	2
troy_main_settlement_forest_sea	2	3
troy_main_settlement_forest_sea	3	3
troy_main_settlement_gold_sea	1	2
troy_main_settlement_gold_sea	2	3
troy_main_settlement_gold_sea	3	3
troy_main_settlement_major	2	3
troy_main_settlement_major	3	5
troy_main_settlement_major	4	6
troy_main_settlement_major	5	7
troy_main_settlement_major_sea	1	2
troy_main_settlement_major_sea	2	3
troy_main_settlement_major_sea	3	5
troy_main_settlement_major_sea	4	6
troy_main_settlement_major_sea	5	7
troy_main_settlement_stone_sea	1	2
troy_main_settlement_stone_sea	2	3
troy_main_settlement_stone_sea	3	3
troy_main_special_mycenae	1	2
troy_main_special_mycenae	2	3
troy_main_special_mycenae	3	5
troy_main_special_mycenae	4	6
troy_main_special_mycenae	5	7
troy_main_special_troy_troy	0	7
troy_main_special_troy_troy	1	7
troy_main_special_troy_troy	2	7
troy_main_special_troy_troy	3	7
troy_main_special_troy_troy	4	7
troy_main_special_troy_troy	5	7
troy_main_trj_settlement_bronze_sea	1	2
troy_main_trj_settlement_bronze_sea	2	3
troy_main_trj_settlement_bronze_sea	3	3
troy_main_trj_settlement_farm_sea	1	2
troy_main_trj_settlement_farm_sea	2	3
troy_main_trj_settlement_farm_sea	3	3
troy_main_trj_settlement_forest_sea	1	2
troy_main_trj_settlement_forest_sea	2	3
troy_main_trj_settlement_forest_sea	3	3
troy_main_trj_settlement_gold_sea	1	2
troy_main_trj_settlement_gold_sea	2	3
troy_main_trj_settlement_gold_sea	3	3
troy_main_trj_settlement_major	2	3
troy_main_trj_settlement_major	3	5
troy_main_trj_settlement_major	4	6
troy_main_trj_settlement_major	5	7
troy_main_trj_settlement_major_myth_centaurs	2	3
troy_main_trj_settlement_major_myth_centaurs	3	5
troy_main_trj_settlement_major_myth_centaurs	4	6
troy_main_trj_settlement_major_myth_centaurs	5	7
troy_main_trj_settlement_major_myth_giants	2	3
troy_main_trj_settlement_major_myth_giants	3	5
troy_main_trj_settlement_major_myth_giants	4	6
troy_main_trj_settlement_major_myth_giants	5	7
troy_main_trj_settlement_major_myth_harpies	2	3
troy_main_trj_settlement_major_myth_harpies	3	5
troy_main_trj_settlement_major_myth_harpies	4	6
troy_main_trj_settlement_major_myth_harpies	5	7
troy_main_trj_settlement_major_sea	1	2
troy_main_trj_settlement_major_sea	2	3
troy_main_trj_settlement_major_sea	3	5
troy_main_trj_settlement_major_sea	4	6
troy_main_trj_settlement_major_sea	5	7
troy_main_trj_settlement_stone_sea	1	2
troy_main_trj_settlement_stone_sea	2	3
troy_main_trj_settlement_stone_sea	3	3
